rule_code,rule_name,annotation_count,ayah_count
ghunnah_mushaddadah,Ghunnah Musyaddadah,7270,3832
idgham_mimi,Idgham Mimi,825,711
ikhfa_shafawi,Ikhfa Shafawi,488,445
izhar_shafawi,Izhar Shafawi,6160,3072
