ayah_id,surah_number,ayah_number,ayah_key,issue_type,severity,rule_code,word_index,word,reason,detail,raw_issue
96,2,90,2:90,unlocatable_rule,error,qalqalah_kubra,26,مُّهِيْنٌ,,,"{""rule_code"": ""qalqalah_kubra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""مُّهِيْنٌ"", ""word_index"": 26}"
96,2,90,2:90,suppressed_legacy_false_positive,warning,idgham_mutajanisain,26,مُّهِيْنٌ,cross_word_idgham_requires_next_word,,"{""reason"": ""cross_word_idgham_requires_next_word"", ""rule_code"": ""idgham_mutajanisain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""مُّهِيْنٌ"", ""word_index"": 26}"
96,2,90,2:90,invalid_word_index,error,,27,مُّهِيْنٌ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""مُّهِيْنٌ"", ""word_index"": 27}"
97,2,91,2:91,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,4,بِمَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""بِمَآ"", ""word_index"": 4}"
97,2,91,2:91,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,9,بِمَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""بِمَآ"", ""word_index"": 9}"
97,2,91,2:91,suppressed_legacy_false_positive,warning,mad_lin,11,عَلَيْنَا,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""عَلَيْنَا"", ""word_index"": 11}"
97,2,91,2:91,unlocatable_rule,error,qalqalah_sugra,17,مُصَدِّقًا,,,"{""rule_code"": ""qalqalah_sugra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""مُصَدِّقًا"", ""word_index"": 17}"
97,2,91,2:91,unlocatable_rule,error,qalqalah_sugra,23,اَنْۢبِيَاۤءَ,,,"{""rule_code"": ""qalqalah_sugra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""اَنْۢبِيَاۤءَ"", ""word_index"": 23}"
97,2,91,2:91,unlocatable_rule,error,tarqiq_lam_jalalah,25,مِنْ,,,"{""rule_code"": ""tarqiq_lam_jalalah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""مِنْ"", ""word_index"": 25}"
97,2,91,2:91,unlocatable_rule,error,ikhfa_haqiqi,26,قَبْلُ,,,"{""rule_code"": ""ikhfa_haqiqi"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""قَبْلُ"", ""word_index"": 26}"
97,2,91,2:91,unlocatable_rule,error,qalqalah_sugra,27,اِنْ,,,"{""rule_code"": ""qalqalah_sugra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""اِنْ"", ""word_index"": 27}"
97,2,91,2:91,unlocatable_rule,error,idgham_mimi,29,مُّؤْمِنِيْنَ,,,"{""rule_code"": ""idgham_mimi"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""مُّؤْمِنِيْنَ"", ""word_index"": 29}"
97,2,91,2:91,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,29,مُّؤْمِنِيْنَ,cross_word_idgham_requires_next_word,,"{""reason"": ""cross_word_idgham_requires_next_word"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""مُّؤْمِنِيْنَ"", ""word_index"": 29}"
97,2,91,2:91,invalid_word_index,error,,30,مُّؤْمِنِيْنَ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""مُّؤْمِنِيْنَ"", ""word_index"": 30}"
98,2,92,2:92,suppressed_legacy_false_positive,warning,qalqalah_kubra,1,وَلَقَدْ,qalqalah_kubra_requires_final_waqf,,"{""reason"": ""qalqalah_kubra_requires_final_waqf"", ""rule_code"": ""qalqalah_kubra"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""وَلَقَدْ"", ""word_index"": 1}"
99,2,93,2:93,suppressed_legacy_false_positive,warning,mad_lin,4,فَوْقَكُمُ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""فَوْقَكُمُ"", ""word_index"": 4}"
99,2,93,2:93,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,7,مَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""مَآ"", ""word_index"": 7}"
99,2,93,2:93,suppressed_legacy_false_positive,warning,mad_lin,8,اٰتَيْنٰكُمْ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""اٰتَيْنٰكُمْ"", ""word_index"": 8}"
99,2,93,2:93,suppressed_legacy_false_positive,warning,mad_lin,14,وَاُشْرِبُوْا,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""وَاُشْرِبُوْا"", ""word_index"": 14}"
99,2,93,2:93,unlocatable_rule,error,tarqiq_ra,15,فِيْ,,,"{""rule_code"": ""tarqiq_ra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""فِيْ"", ""word_index"": 15}"
99,2,93,2:93,unlocatable_rule,error,mad_lazim_mukhaffaf,17,الْعِجْلَ,,,"{""rule_code"": ""mad_lazim_mukhaffaf"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""الْعِجْلَ"", ""word_index"": 17}"
99,2,93,2:93,unlocatable_rule,error,mad_silah_qasirah,17,الْعِجْلَ,,,"{""rule_code"": ""mad_silah_qasirah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""الْعِجْلَ"", ""word_index"": 17}"
99,2,93,2:93,unlocatable_rule,error,qalqalah_sugra,18,بِكُفْرِهِمْ ۗ,,,"{""rule_code"": ""qalqalah_sugra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""بِكُفْرِهِمْ ۗ"", ""word_index"": 18}"
99,2,93,2:93,unlocatable_rule,error,alif_lam_qamariah,18,بِكُفْرِهِمْ ۗ,,,"{""rule_code"": ""alif_lam_qamariah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""بِكُفْرِهِمْ ۗ"", ""word_index"": 18}"
99,2,93,2:93,unlocatable_rule,error,mad_silah_qasirah,19,قُلْ,,,"{""rule_code"": ""mad_silah_qasirah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""قُلْ"", ""word_index"": 19}"
99,2,93,2:93,unlocatable_rule,error,tarqiq_ra,19,قُلْ,,,"{""rule_code"": ""tarqiq_ra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""قُلْ"", ""word_index"": 19}"
99,2,93,2:93,unlocatable_rule,error,mad_asli,22,بِهٖٓ,,,"{""rule_code"": ""mad_asli"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""بِهٖٓ"", ""word_index"": 22}"
99,2,93,2:93,unlocatable_rule,error,tafkhim_ra,23,اِيْمَانُكُمْ,,,"{""rule_code"": ""tafkhim_ra"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""اِيْمَانُكُمْ"", ""word_index"": 23}"
99,2,93,2:93,unlocatable_rule,error,mad_lazim_mukhaffaf,24,اِنْ,,,"{""rule_code"": ""mad_lazim_mukhaffaf"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""اِنْ"", ""word_index"": 24}"
99,2,93,2:93,unlocatable_rule,error,mad_lazim_mukhaffaf,25,كُنْتُمْ,,,"{""rule_code"": ""mad_lazim_mukhaffaf"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""كُنْتُمْ"", ""word_index"": 25}"
99,2,93,2:93,invalid_word_index,error,,27,كُنْتُمْ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""كُنْتُمْ"", ""word_index"": 27}"
99,2,93,2:93,invalid_word_index,error,,28,مُّؤْمِنِيْنَ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""مُّؤْمِنِيْنَ"", ""word_index"": 28}"
