rule_code,rule_name,annotation_count,ayah_count
idgham_mutajanisain,Idgham Mutajanisain,61,59
idgham_mutamathilain,Idgham Mutamathilain,124,117
idgham_mutaqaribain,Idgham Mutaqaribain,14,14
