rule_code,rule_name,annotation_count,ayah_count
mad_arid_lissukun,Mad 'Arid Lissukun,4782,4782
mad_badl,Mad Badl,164,154
mad_iwad,Mad Iwad,655,655
mad_jaiz_munfasil,Mad Jaiz Munfasil,29,20
mad_lazim_kalimi_mukhaffaf,Mad Lazim Kalimi Mukhaffaf,2453,1767
mad_lazim_kalimi_muthaqqal,Mad Lazim Kalimi Muthaqqal,1033,945
mad_lin,Mad Lin,9,9
mad_tabii,Mad Tabi'i,45877,6028
mad_wajib_muttasil,Mad Wajib Muttasil,1467,1124
