rule_code,rule_name,annotation_count,ayah_count
mad_ayn_muqattaah,Mad 'Ayn Muqatta'ah,2,2
mad_farq,Mad Farq,0,0
mad_harfi_tabii,Mad Harfi Tabi'i,14,12
mad_lazim_harfi_mukhaffaf,Mad Lazim Harfi Mukhaffaf,22,19
mad_lazim_harfi_muthaqqal,Mad Lazim Harfi Muthaqqal,9,9
mad_silah_qasirah,Mad Silah Qasirah,5,5
mad_silah_tawilah,Mad Silah Tawilah,0,0
mad_tamkin,Mad Tamkin,3,3
