rule_code,rule_name,annotation_count,ayah_count
alif_lam_qamariyyah,Alif Lam Qamariyyah,7568,4019
alif_lam_shamsiyyah,Alif Lam Shamsiyyah,4231,2705
lam_jalalah_tafkhim,Tafkhim Lam Jalalah,1688,1280
lam_jalalah_tarqiq,Tarqiq Lam Jalalah,712,644
